Date,Open,High,Low,Close,Adj Close,Volume
2021-01-15,0.009389,0.009796,0.008460,0.009369,0.009369,398965925
2021-01-16,0.009367,0.009531,0.009140,0.009265,0.009265,258630480
2021-01-17,0.009263,0.009367,0.008841,0.009067,0.009067,254487989
2021-01-18,0.009070,0.009295,0.008981,0.009171,0.009171,205025648
2021-01-19,0.009172,0.009613,0.009020,0.009098,0.009098,249242632
2021-01-20,0.009096,0.009153,0.008529,0.009060,0.009060,220205442
2021-01-21,0.009062,0.009089,0.008061,0.008166,0.008166,215419839
2021-01-22,0.008165,0.008769,0.007654,0.008524,0.008524,185490003
2021-01-23,0.008520,0.008808,0.008388,0.008579,0.008579,154393737
2021-01-24,0.008578,0.008951,0.008516,0.008727,0.008727,162191977
2021-01-25,0.008727,0.008879,0.008276,0.008383,0.008383,180820875
2021-01-26,0.008382,0.008456,0.008022,0.008255,0.008255,161173749
2021-01-27,0.008255,0.008259,0.007294,0.007482,0.007482,204797186
2021-01-28,0.007481,0.013826,0.007351,0.012555,0.012555,2125005503
2021-01-29,0.043734,0.077973,0.032341,0.047162,0.047162,25403310432
2021-01-30,0.046803,0.049901,0.022488,0.028176,0.028176,8735576553
2021-01-31,0.028191,0.045289,0.027102,0.037196,0.037196,8548997882
2021-02-01,0.037054,0.043250,0.033367,0.034875,0.034875,6319224026
2021-02-02,0.034910,0.034926,0.029195,0.031520,0.031520,3090896595
2021-02-03,0.031493,0.039105,0.031146,0.037120,0.037120,3146856788
2021-02-04,0.037226,0.057869,0.035945,0.053289,0.053289,13040837601
2021-02-05,0.053043,0.053740,0.043540,0.046935,0.046935,6136160058
2021-02-06,0.046931,0.058308,0.044904,0.057595,0.057595,5946101275
2021-02-07,0.057502,0.084357,0.054239,0.078782,0.078782,14261024073
2021-02-08,0.078352,0.084945,0.064702,0.078825,0.078825,12844375210
2021-02-09,0.078773,0.083128,0.065621,0.070070,0.070070,7348840814
2021-02-10,0.070111,0.081091,0.068525,0.072896,0.072896,6785088422
2021-02-11,0.072844,0.074301,0.068290,0.069676,0.069676,3818556739
2021-02-12,0.069650,0.072610,0.061445,0.070069,0.070069,4190843784
2021-02-13,null,null,null,null,null,null
2021-02-14,0.066448,0.066448,0.056723,0.062537,0.062537,3984667628
2021-02-15,0.059668,0.063803,0.048590,0.056541,0.056541,5130749952
